entry_id,organisation,category,source_name,source_type,source_url,verification_status,last_checked
KMC-HEALTH-UHPC-04,Urban Health Promotion Center 4,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-05,Urban Health Promotion Center 5,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-06,Urban Health Promotion Center 6,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-07,Urban Health Promotion Center 7,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-08,Urban Health Promotion Center 8,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-09,Urban Health Promotion Center 9,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-10,Urban Health Promotion Center 10,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-11,Urban Health Promotion Center 11,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-12,Urban Health Promotion Center 12,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-13,Urban Health Promotion Center 13,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-14,Urban Health Promotion Center 14,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-15,Urban Health Promotion Center 15,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-16,Urban Health Promotion Center 16,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-17,Urban Health Promotion Center 17,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-18,Urban Health Promotion Center 18,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-19,Urban Health Promotion Center 19,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-20,Urban Health Promotion Center 20,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-21,Urban Health Promotion Center 21,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-22,Urban Health Promotion Center 22,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-23,Urban Health Promotion Center 23,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-24,Urban Health Promotion Center 24,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-25,Urban Health Promotion Center 25,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-26,Urban Health Promotion Center 26,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-27,Urban Health Promotion Center 27,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-28,Urban Health Promotion Center 28,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-29,Urban Health Promotion Center 29,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-30,Urban Health Promotion Center 30,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-31,Urban Health Promotion Center 31,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-32,Urban Health Promotion Center 32,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-WARD-01,Kathmandu Metropolitan City Ward No. 1 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-02,Kathmandu Metropolitan City Ward No. 2 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-03,Kathmandu Metropolitan City Ward No. 3 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-04,Kathmandu Metropolitan City Ward No. 4 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-05,Kathmandu Metropolitan City Ward No. 5 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
KMC-WARD-06,Kathmandu Metropolitan City Ward No. 6 Office,Ward Offices,Kathmandu Metropolitan City Ward Offices Directory,Official Municipality,https://new.kathmandu.gov.np/en/wards,Verified,2026-06-28
